name	Email Address	Website	Description	Address	Phone	Fax	800 Number	TDD
VISIONS Services for the Blind and Visually Impaired	info@visionsvcb.org	http://www.visionsvcb.org	The VISIONS Services for the Blind and Visually Impaired was incorporated in 1926, is a non-profit rehabilitation and social service organization. Its purpose is to develop and implement programs to assist blind and visually impaired persons of all ages to lead independent and active lives in their homes and communities, and to educate the public to understand the capabilities and needs of blind and visually impaired persons so that they may be integrated into all aspects of community life. Visions has a particular emphasis on providing services for blind and visually impaired persons with special needs, such as frail elders, people with multiple disabilities, and persons speaking languages other than English. Services include therapeutic recreation at overnight residential camp, family support services, in-home vision rehabilitation and occupational therapy for Metro NYC residents.	500 Greenwich Street3rd FloorNew York, NY 10013-1354 	2126251616	2122194078	8882458333	NA
Foundation for Women’s Cancer	info@foundationforwomenscancer.org	http://www.wcn.org/	The Foundation for Women's Cancer as a non-profit charitable organization to support philanthropic programs to benefit women who have, or are at risk for developing gynecologic cancer established the Foundation for Women's Cancer (FWC). The mission of the Foundation for Women's Cancer is to ensure public awareness of gynecologic cancer prevention, early diagnosis and proper treatment. In addition, the foundation supports research and training related to gynecologic cancers. FWC advances this mission by increasing public and private funds that aid in the development and implementation of programs to meet these goals.	230 West Monroe, Suite 2528Chicago, IL 60606 	3125781439	3125789769	8004444441	NA
Prader-Willi France	Fhirsch38@gmail.com	http://www.prader-willi.fr/	The Prader-Willi France, established in 1996, disseminates information about, and raises awareness of, Prader-Willi syndrome. Prader-Willi syndrome is a genetic disorder characterized by diminished muscle tone, feeding difficulties, and failure to grow and gain weight during infancy, short stature, genital abnormalities and mental retardation. In addition, beginning at approximately age six months to six years, affected individuals may develop excessive body weight, especially in the lower regions of the body. Prader-Willi France helps families break their isolation and provides them with information about living with this disorder. It also encourages research. Prader-Willi France serves families in France and other French-speaking parts of the world.	10 Rue Charles ClementMondrepuis,  F02500 France	33323987904	33323987904	NA	NA
Parents of Infants and Children with Kernicterus (P.I.C.K.)	info@pickonline.org	http://pic-k.org/	The mission of Parents of Infants and Children with Kernicterus (P.I.C.K.) is to prevent kernicterus and trace its causes, provide information and support to families, identify effective therapies and treatment, and seek out and fund promising research. Kernicterus is a rare neurological disorder that affects newborn infants of both sexes in equal numbers. It occurs more often in premature infants, and is characterized by hyperbilirubinemia (excessive levels of bilirubin in the blood) during infancy. Bilirubin is a byproduct of the natural breakdown of hemoglobin in red blood cells. Established in 2001, this voluntary organization provides services to patients and their families, health professionals, and the general public.	One W. Superior StreetSuite 2410Chicago, IL 60610 USA	3122749695	NA	NA	NA
Marinesco-Sjogren Syndrome Support Group	mss@marinesco-sjogren.org	http://www.marinesco-sjogren.org	The Marinesco-Sjogren Syndrome Support Group, established in 2000, provides support to families affected by Marinesco-Sjogren syndrome (MSS) and encourages communication between physicians and researchers. Marinesco-Sjogren syndrome is a hereditary disorder characterized by a loss of muscle coordination, loss of clearness in the eyes' lenses, very small stature, progressive muscle weakness, hypergonadotropic hypogonadism, and mental retardation.	1640 Crystal View CircleNewbury Park, CA 91320 USA	8054997410	NA	NA	NA
Ehlers-Danlos Support Group UK	director@ehlers-danlos.org	http://www.ehlers-danlos.org	The Ehlers-Danlos Support Group UK is an international non-profit self-help organization dedicated to informing, encouraging, and assisting those with Ehlers-Danlos Syndrome (EDS) and their family members. Ehlers-Danlos Syndrome (EDS) is a group of rare inherited connective tissue disorders characterized by abnormalities of the skin, ligaments, and internal organs. Although symptoms and physical features may vary greatly depending upon the specific form of EDS present, many affected individuals may have thin, fragile, hyperextensible skin that may bruise easily; abnormally loose joints that are prone to repeated dislocations; widespread tissue fragility with bleeding and poor healing of wounds; and/or other abnormalities. Established in 1992, the Ehlers-Danlos Support Group UK is committed to raising awareness of EDS among the medical and professional communities; supporting research into the causes, treatment, and cure of EDS; and enabling members of the organization to exchange information, support, and resources. The Group also maintains a listing of medical specialists who have experience with EDS; holds a biennial National Conference; produces booklets, information sheets, and other materials on all aspects of EDS; offers a "Key Facts Medical Card" that is available in several languages to help affected individuals alert medical professionals to key aspects concerning EDS; and has a regular newsletter entitled "Fragile Links."	PO Box 748Borehamwood,  WD6 9HU United Kingdom	2087365604	NA	NA	NA
Encephalitis Global	admin@encephalitisglobal.org	http://www.encephalitisglobal.org	The Encephalitis Global offers information and support to survivors of encephalitis, which refers to inflammation of the brain, loved ones and caregivers. This organization also welcomes inquiries from people who simply wish to understand more about encephalitis.	18 North Broadway #404Tarrytown, NY 10591 USA	604-980-2236	6049040809	NA	NA
Pancreatic Cancer Action Network	info@pancan.org	http://www.pancan.org	The Pancreatic Cancer Action Network, Inc., (PanCAN) is a non-profit public benefit organization that provides a strong voice in advocacy for those affected by pancreatic cancer. PanCAN is dedicated to focusing national attention on the need to find a cure for, and ultimately to eliminate, pancreatic cancer. This will be accomplished by providing public and professional education that embraces the urgent need for more research, effective treatments, and early detection and prevention programs. Pancreatic cancer is the fourth-ranked cause of cancer death in the U.S. among both men and women. Approximately 29,000 Americans are diagnosed with pancreatic cancer each year.	1500 Rosecrans AvenueSuite 200Manhattan Beach, CA 90266 USA	3107250025	3107250029	8772726226	NA
Foundation For A Cure For Mitochondrial Disease, Inc.	mitocure@yahoo.com	http://www.mitocure.org	The mission of the Foundation For A Cure For Mitochondrial Disease, Inc. is to raise money that will go directly to research seeking to cure mitochondrial diseases. The foundation pledges that 100 percent of the funds raised will go directly to research. Mitochondrial diseases are hereditary disorders that affect the ability of cells within the body to produce energy. The foundation covers several diseases, including MELAS, MERRF, and Leigh's Syndrome, among others. Established in 2000, it supports research and serves patients and their family members, health professionals and the general public.	81 Wood Pond RdCheshire, CT 6410 	2036990022	NA	NA	NA
National CFIDS Foundation, Inc.	info@ncf-net.org	http://www.ncf-net.org	The National CFIDS Foundation, Inc., is an all-volunteer group dedicated to finding the cause and subsequent treatment of myalgic encephalomyelitis, also known as chronic fatigue syndrome and chronic fatigue immune dysfunction syndrome. The goals are to serve as an advocate for those affected by chronic fatigue syndrome, fund research, and provide accurate and timely information about this disease and related disorders. Established in 1987, the National CFIDS Foundation is a voluntary, not-for-profit organization providing educational materials, patient networking, patient advocacy and other services throughout the United States.	103 Aletha RoadNeedham, MA 02492-3931 	7814493535	7814498606	NA	NA
Ocular Immunology and Uveitis Foundation	fosters@uveitis.org	http://www.uveitis.org	The Ocular Immunology and Uveitis Foundation is a self-help organization founded in 1996. In addition to providing information and learning opportunities, the group is committed to a process of mutual support. Members share experiences and insights gained through living with uveitis and other ocular inflammatory diseases to help each other cope and manage these diseases more effectively. Dr. Charles Stephen Foster is the medical advisor.	1440 Main StreetSuite 201Waltham, MA 02451 USA	7816471431	NA	8663536377	NA
Shaken Baby Alliance	info@shakenbaby.com	http://www.ShakenBaby.com	The Shaken Baby Alliance is a voluntary, non-profit, service and advocacy organization serving victim family members and professionals concerned about shaken baby syndrome (SBS). This syndrome occurs when a child is shaken back and forth in a "whiplash" motion so that delicate veins over the brain tear and bleed, causing pressure on the brain. The damaged brain begins to swell, and vital functions, such as heart rate and breathing, are affected. Many people do not realize the harm that can result from shaking an infant or young child. The goal of the alliance is to provide information and support to affected families, serve as advocates for victims, and provide educational services as a preventive measure. The alliance is international in scope, and provides brochures in English and Spanish.	8551 Boat Club RoadSuite 117Fort Worth, TX 76179 USA	8176363727	8178828687	8776363727	NA
Organisation For Anti-Convulsant Syndrome	OACSsecretary@gmail.com	http://www.oacscharity.org	NA	23 Morriston CloseSouth OxheyWatford,  WD196UB United Kingdom	4402083869271	NA	NA	NA
National Batten Disease Registry	BattenKW@aol.com	NA	The National Batten Disease Registry was established in 1987 to identify families affected with Batten disease and provide physicians and researchers with a computerized central data bank of vital information. Batten disease is the juvenile form of a group of progressive, inherited neurological diseases known as neuronal ceroid lipofuscinoses (NCL). It occurs mostly in families of northern European Scandinavian ancestry, and is marked by rapidly progressive vision failure and neurological disturbances, which may include deterioration of intellect. Since its inception, the registry has expanded to provide additional services for both physicians and families. The information collected by the registry is available to all researchers working on Batten disease. The registry works closely with the Batten Disease Support and Research Association (BDSRA), gathering and disseminating information on Batten disease. It provides parents with the latest medical developments, names of nearby physicians, and access to a second opinion. The registry also puts parents in contact with other families.	New York Institute for Basic Research in Developmental Disabilities1050 Forest Hill RdStaten Island, NY 10314 USA	7184945201	7189826346	8009529628	NA
HITS (UK) Family Support Network	tgrant@hitsuk.freeserve.co.uk	http://www.e-fervour.com/hits	The aim of HITS (UK), Family Support Network, is to enrich the lives of children and families affected by Hypomelanosis of Ito by encouraging communication, facilitating the flow of information between families and health professionals, and generally reducing the sense of isolation patients and families may experience. A voluntary, non-profit organization, the network publishes a quarterly newsletter, organizes an annual family event, and promotes broader understanding of hypomelanosis of Ito. This rare disorder can affect individuals in many different ways. It may produce dermatologic or neurologic symptoms, specific eye conditions, seizures, autism, and/or abnormalities of the bones, among other things. The Family Support Network operates predominantly in the U.K., where it is based, but will provide assistance in other parts of the world, if necessary.	33 Fernworthy CloseTorquayDevon,  TQ2 7JQ United Kingdom	4401803401018	442083521824	NA	NA
Asherman’s Syndrome Online Community	ashermansbook@yahoo.com	http://www.ashermans.org	The Asherman's Syndrome Online Community (ASOC) is an international community of women from all over the world who have been diagnosed with Asherman's syndrome. The purpose of this community is for members to give support to each other by sharing information. Asherman's syndrome is an acquired uterine disease characterized by the formation of scar tissue (adhesions) in the uterus. Most patients with Asherman's have scanty or absent menstruation (amenorrhea) but some have normal menstruation. Some patients do not menstruate but feel pain each month at the time that menstruation would normally occur. Symptoms can also include recurrent miscarriage or in some cases infertility. Founded in 1999, the online community serves women in countries throughout the world.	NA	NA	NA	NA	NA
Children’s Gaucher Research Fund	research@childrensgaucher.org	http://www.childrensgaucher.org	The Children's Gaucher Research Fund (CGRF) is a 501(c)(3) non-profit organization that raises money for medical research aimed at finding a cure for Gaucher disease type 2 and type 3. It also provides support to families of affected children and allows families who have lost a child to this disease to participate, in their child's honor, in fund-raising for medical research. Gaucher disease is a rare, inherited, metabolic disorder in which the body is unable to rid itself of worn-out red and white blood cells so that these cells accumulate in the liver, spleen, bone marrow, and, sometimes, heart and lungs. In Children's Gaucher disease, more commonly known as types 2 and 3 Gaucher disease, all of the above-mentioned symptoms exist, but the disease is also characterized by certain neurologic symptoms such as ocular motor apraxia, a defect of horizontal eye movements; breathing problems and, sometimes, speech or cognitive delay. Founded in 1999, the Children's Gaucher Research Fund has approximately 1900 members. It serves families in the United States and Canada.	P.O. Box 2123Granite Bay, CA 95746-2123 USA	9167973700	9167973707	NA	NA
Pediatric Keratoplasty Association	pedkera@aol.com	http://www.pedkera.org	The Pediatric Keratoplasty Association is a voluntary, non-profit organization dedicated to the treatment and management of infants and children with corneal diseases. It provides patient and professional education, supports research, promotes support groups and publishes a newsletter. It serves families from the United States and other countries affected by eye diseases such as Peter’s anomaly, sclerocornea, and corneal opacities. With approximately 150 members, the association was established in 1995.	c/o Gerald Zaidman, M.D.Westchester Medical CenterValhalla, NY 10595 	9144931599	9144937445	NA	NA
Worster-Drought Syndrome Support Group	National.Contact@wdssg.org.uk	http://www.wdssg.org.uk	The Worster-Drought Syndrome Support Group (WDSSG) offers support to families affected by Worster-Drought syndrome; raises awareness of this disease among health professionals and other interested individuals; and supports and promotes research. Worster-Drought syndrome is a form of cerebral palsy sometimes also known as congenital supra bulbar paresis. It is associated with a range of problems that include difficulties with chewing and swallowing, speech, and coordination. Because of the varying nature of symptoms, diagnosis is often made quite late. The syndrome is named for a physician who studied this disease in the early 1950s. Formed in 1994, the support group is based in the United Kingdom but sends information, including a newsletter, around the world.	209-211 City RoadLondon,  EC1V 1JN United Kingdom	2076088700	NA	NA	NA
National Academy of Elder Law Attorneys, Inc.	info@naela.com	http://www.naela.org	A non-profit organization, the National Academy of Elder Law Attorneys, Inc., is a professional association of lawyers who are dedicated to improving the quality of legal services provided to the elderly. Elder law attorneys focus on the legal needs of the elderly and work with a variety of legal tools and techniques to meet the goals and objectives of older clients. Since 1900, the percentage of Americans over age 65 has more than tripled. The most rapid increase is expected from 2010 to 2030, when the baby boom generation reaches 65. Legal needs of the elderly may involve such issues as age discrimination, elder abuse, estate planning, long-term care and Medicare/Medicaid decisions. Established in 1988, the NAELA helps its members more effectively address the particular legal needs of the elderly.	1577 Spring Hill RoadSuite 220Vienna, VA 22182 	7039425711	NA	NA	NA
Nail Patella Syndrome Worldwide	info@npsw.org	http://www.npsw.org	The Nail Patella Syndrome Worldwide was established to support individuals with NPS. It provides medical information, networking opportunities, and friendship. The group publishes a quarterly newspaper and has also published a medical brochure. The organization is based in California, but serves members from around the world. Nail Patella Syndrome is a rare genetic disorder that is usually apparent at birth or during early childhood. It is often misdiagnosed. Although the associated symptoms and physical characteristics may vary, characteristic abnormalities include improper development of the fingernails, toenails, kneecaps, and certain bones at the bend of the elbow. In addition, this syndrome sometimes results in abnormalities of the eyes and kidneys among other symptoms.	14980 Stream Valley CourtHaymarket, VA 20169 USA	7036266852	NA	NA	NA
Eye Cancer Network	pfinger@eyecancer.com	http://www.eyecancer.com	The Eye Cancer Network, a web-based organization, provides information for patients with eye cancer and the health professionals who care for them. Its activities include general, professional, and patient education; support for research; patient networking; genetic counseling; support group coordination; referrals and maintenance of a database. It serves an international audience. The network provides patient-to-patient and doctor-to-doctor interactive bulletin boards.	115 East 61st St, 5th FloorNew York, NY 10021 	2128328170	2128884030	NA	NA
International Foundation for Optic Nerve Disease (IFOND)	ifond@aol.com	http://www.ifond.org/	The International Foundation for Optic Nerve Disease (IFOND) is a voluntary organization that promotes research into the causes, prevention, and treatment of optic nerve disease. It also disseminates information about optic nerve disease to patients, their families, and healthcare providers. Optic nerve disease includes diseases such as ischemic optic neuropathy, which is the most common cause of vision loss in persons over age 50; Leber's hereditary optic neuropathy, an inherited disease that occurs most often in young men in their 20s; toxic optic nerve disease, in which nerve damage and blindness may result from certain medications, alcohol, and other substances; and glaucomatous optic nerve disease. Established in 1995, IFOND provides educational materials for patients, families, health professionals and the general public. It also helps patients network with others affected by the same diseases.	PO Box 777Cornwall, NY 12518 USA	8455347250	8455347250	NA	NA
Dattoli Cancer Foundation	info@dattolifoundation.org	http://www.dattolifoundation.org	The mission of the Dattoli Cancer Foundation, a non-profit organization, is to provide information regarding treatment options and to serve as a source of hope and encouragement for prostate cancer patients and their families. Established in 1995, the Network serves people throughout the United States, providing advocacy, patient networking, referrals and patient educational materials.	2803 Fruitville RoadSarasota, FL 34237 USA	9413655599	9413663786	8009151001	NA
Hunter’s Hope Foundation, Inc.	info@huntershope.org	http://www.huntershope.org	The mission of the Hunter's Hope Foundation, Inc., is to foster public awareness of Krabbe disease and other leukodystrophies in order to increase the likelihood of early detection, to provide information and service linkages to families of children with leukodystrophies, to fund research aimed at identifying new therapies, and, ultimately, to seek a cure. Leukodystrophy is the name given to a group of very rare, progressive, metabolic diseases that affect the brain, spinal cord and, often, the peripheral nerves. Krabbe disease is one type of leukodystrophy. A not-for-profit organization, the Hunter's Hope Foundation serves an international audience, providing educational materials for patients, families, health professionals, and the public. It also provides advocacy, referrals, and a registry.	PO Box 6436368 West Quaker StreetOrchard Park, NY 14127 	7166671200	7166671212	8779844673	NA
Barth Syndrome Foundation	bsfinfo@barthsyndrome.org	http://www.barthsyndrome.org	The Barth Syndrome Foundation (BSF) together with its affiliates, is a group of international non-profit organizations that provide information, resources and services for healthcare professionals and families worldwide. Advising the group is a Scientific and Medical Advisory Board (SMAB), which comprises clinicians and scientists who are leading experts in Barth syndrome. BSF sponsors a research grant program to facilitate advances in Barth syndrome (BTHS) understanding and to encourage the discovery of new treatments. The Barth Syndrome Medical Database and Biorepository have been established to promote the collection and sharing of clinical histories and biological samples (including cell lines) of BTHS patients. Barth syndrome is a rare, metabolic, and neuromuscular, genetic disorder that occurs exclusively in males, since it is passed from mother to son through the X chromosome. Although Barth syndrome typically becomes apparent during infancy or early childhood, the age of onset, associated symptoms and findings, and disease course varies considerably, even among affected members of the same family (kindred). Primary characteristics of the disorder include abnormalities of heart and skeletal muscle (cardioskeletal myopathy); low levels of certain white blood cells (neutrophils, neutropenia) that help to fight bacterial infections, and growth retardation, potentially leading to short stature. The disorder is also associated with increased levels of certain organic acids in the urine and blood, such as 3-methylglutaconic aciduria/acidemia.	P.O. Box 618Larchmont, NY 10538 	8502231128	5182134061	NA	NA
NIH/Clinical Trials	NA	http://www.ClinicalTrials.gov	The ClinicalTrials.gov offers up-to-date information for locating federally and privately supported clinical trials for a wide range of diseases and conditions. A clinical trial (also clinical research) is a research study in human volunteers to answer specific health questions. Interventional trials determine whether experimental treatments or new ways of using known therapies are safe and effective under controlled environments. Observational trials address health issues in large groups of people or populations in natural settings. ClinicalTrials.gov currently contains 94,404 trials sponsored by the National Institutes of Health, other federal agencies, and private industry. Studies listed in the database are conducted in all 50 States and in 173 countries ClinicalTrials.gov receives over 50 million page views per month 65,000 visitors daily.	NA	NA	NA	800-411-1222	NA
CADASIL-Together We Have Hope	info@cadasilfoundation.org	http://www.cadasilfoundation.org	The CADASIL is a hereditary disease that affects the muscle walls in the small arteries that provide blood flow to the brain. It results from a protein deficiency, and is characterized by recurrent ischemic (mini-stroke) events, migraine headache, and/or severe mood disorders. CADASIL stands for cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy. CADASIL-Together We Have Hope is a 501(c)(3) non-profit organization that provides support, encouragement, and information to those affected and their families, as well as to the medical professionals who treat affected individuals.	3605 Monument DriveRound Rock, TX 78681 USA	5122550209	5122550209	8775194673	NA
Platelet Disorder Support Association	pdsa@pdsa.org	http://www.pdsa.org	The Platelet Disorder Support Association is dedicated to enhancing the lives of people with immune (idiopathic) thrombocytopenic purpura (ITP) and other platelet disorders. In ITP, the body mounts an immune attack against platelets resulting in a reduced platelet count. The Platelet Disorder Support Association provides a broad range of services that include a web site, quarterly newsletter, monthly e-news, annual conference, research collaboration, online patient support groups, and many other publications. Established in 1998, it serves health professionals and the public, as well as patients and their families.	8751 Brecksville RoadSuite 150Cleveland, OH 44141 USA	4407469003	8442701277	8775283538	NA
Canadian Lymphedema Framework	admin@canadalymph.ca	http://canadalymph.ca/	Our mission is to improve the management of lymphedema and related disorders in Canada. In collaboration with the International Lymphoedema Framework (ILF) and the American Lymphedema Framework Project (ALFP), we will contribute to the global advancement of lymphedema care.	4800 Dundas Street WSuite 204Toronto, Ontario,  M9A 1B1 Canada	(1) 647-693-1083	NA	NA	NA
International WAGR Syndrome Association	reachingout@wagr.org	http://www.wagr.org/	The International WAGR Syndrome Association is a support and information group for families affected by WAGR syndrome and/or aniridia, as well as the medical and educational professionals who work with these families. WAGR is an acronym, which stands for Wilm's tumor, aniridia, genito-urinary abnormalities, and mental retardation. A combination of two of these conditions may indicate WAGR syndrome. WAGR syndrome is caused by a deletion in the short arm of chromosome 11 (11p13-). International WAGR Syndrome Association was established in 1998, and encourages its members to share information on the management of symptoms and related topics. Its services include an Internet support group, an informative website, patient networking, and a quarterly newsletter. All services are free, and available to anyone in the world.	1 Liberty StNew York, NY 5006 USA	NA	NA	NA	NA
Iron Disorders Institute	info@irondisorders.org	http://www.irondisorders.org	The Iron Disorders Institute (IDI) is a voluntary, non-profit resource center providing information and educational materials about iron-related disorders and diseases. Serving a worldwide audience, it strives to maintain cooperative relationships with governmental health agencies and other professional organizations. It encourages research on iron-related health problems to improve the quality of life for patients and reduce health-care costs. Established in 1996, it publishes a magazine on iron disorders and coordinates a broad range of other services, includes support groups, networking, educational materials, and patient advocacy.	PO Box 675Taylors, SC 29687 USA	8642921175	8642921878	8885654766	NA
Wheelchairnet	kar161@pitt.edu	http://www.wheelchairnet.org	The WheelchairNet web site is a project of the Rehabilitation Engineering Research Center on Wheeled Mobility of the University of Pittsburgh. It was created with a grant from the National Institute on Disability and Rehabilitation Research of the U.S. Department of Education. The site is intended for people who use wheelchairs, members of their families, clinicians who prescribe or provide wheelchairs, researchers who are interested in improving wheelchair technology, health insurers who provide payment for wheelchair products, and all others who have an interest in wheelchair design.	2310 Jane Street, Suite 1300University of PittsburghPittsburgh, PA 15203-2212 	4125866908	4125866910	NA	4123836598
STARS – Syncope Trust & Reflex Anoxic Seizures	info@stars.org.uk	http://www.stars.org.uk	The STARS - Syncope Trust & Reflex Anoxic Seizures is an information and support group that exists to bring about public and professional awareness of reflex anoxic seizures (RAS). These are seizures that can occur at any age, but are most common in young children and tend to be clustered in "batches" of attacks. In an RAS episode, an unexpected stimulus, such as pain, shock, or fright, causes the heart to stop, the eyes to roll up into the head, the complexion to become deathly white, and the body to stiffen. After several seconds, the body relaxes and the heart starts beating, but the sufferer loses consciousness and may remain unconscious for an hour or longer. Established in 1993, this organization provides educational materials for patients and health professionals, gathers information to aid research into RAS, and provides support groups and other services for families. It offers information on all types of syncopes including reflex anoxic seizures, for adults and children.	P.O. Box 175Stratford - Upon - AvonWarwickshire,  CV37 8YD United Kingdom	44 (0)1789 867 503	1789450682	8000286362	NA
Peutz-Jeghers Syndrome Online Support Group	pj4steph@aol.com	https://www.smartpatients.com/communities/peutz-jeghers-syndrome	The Peutz-Jeghers Syndrome Online Support Group is a free e-mail support group for patients, families, friends, researchers, and physicians. It provides a forum to discuss clinical and non-clinical issues and advances pertaining to Peutz-Jeghers syndrome. This is a rare, inherited disorder characterized by multiple, initially benign nodular growths of the GI tract and an increased risk of cancer throughout the body. Discussion topics include patient experiences, psychosocial issues, new research, clinical trials, and discussions of current treatment practices.	NA	NA	NA	NA	NA
American Association for Klinefelter Syndrome Information and Support	KSinfo@aaksis.org	http://www.aaksis.org	The American Association for Klinefelter Syndrome Information and Support (AAKSIS) is a 501(c)(3) not-for-profit organization incorporated in Illinois. AAKSIS (pronounced "access") is a national voluntary organization with the mission of education, support, research and understanding of XXY and its variants, collectively known as Klinefelter syndrome. This disorder, characterized by the presence of an extra X chromosome, causes impaired function of the testes in males. AAKSIS supports greater awareness and understanding among the general public, medical profession, and affected men and their families through education and sharing of information about this medical condition and its effects. Established in 2000, the organization sponsors national and regional meetings, maintains a 24-hour hotline and web site, and publishes a newsletter and other informational materials.	c/o Roberta Rappaport3796 Ogden Ln.Mundelein, IL 60060-6038 USA	NA	NA	8884665747	NA
Little Hearts, Inc.	info@littlehearts.org	http://www.littlehearts.org	The Little Hearts, Inc., is a non-profit organization that provides support, resources, networking and hope to families affected by congenital heart defects (CHD). Membership consists of parents who have or are expecting a child with a CHD, adults with a CHD and parents whose child lost his or her battle with CHD. Established in 1998, this organization offers one-to-one phone contact, monthly support group meetings, networking, newsletters, annual picnics and projects (yearly and monthly photo calendars). It sponsors two online email support groups, one for all members and one for parents who have a lost a child to CHD.	P.O. Box 171110 Court Street, Suite 3ACromwell, CT 6416 USA	8606350006	8606350006	8664354673	NA
Kids With Heart ~ National Association for Children’s Heart Disorders, Inc.	michelle@kidswithheart.org	http://www.kidswithheart.org	The Kids With Heart National Association for Children's Heart Disorders, Inc., is a non-profit corporation organized to provide support, education, and informational materials to families of children who have heart disorders, both congenital and acquired, to assist them in making decisions regarding their child's care. More than 25,000 infants are born with heart defects each year in the United States. Heart defects are among the most common birth defects, and are the leading cause of birth defect-related deaths. The association maintains a national database of families affected by congenital heart defects, and families who have lost a child to congenital heart defects, as well as a national database of local support groups who have registered with Kids with Heart NACHD. NACHD also carries a line of books on congenital heart defects and related issues.	1578 Careful Dr.Green Bay, WI 54304 	9204980058	9204980058	8005385390	NA
Engle Laboratory at Children’s Hospital Boston	candrews@enders.tch.harvard.edu	http://www.childrenshospital.org/research/engle/	The Engle Laboratory is a genetics research lab that is focused on identifying and understanding the genes involved in pediatric eye movement disorders, specifically congenital fibrosis of the extraocular muscles (CFEOM), congenital ptosis, and Duane syndrome. It is a not-for-profit research organization, providing services that include genetic counseling and publication of a newsletter. Established in 1992, the lab serves patients and families from around the world. It is based at Children’s Hospital in Boston.	CLS 14076300 Longwood AveBoston, MA 2115 	6179192168	6179192769	NA	NA
Kidneeds	kidneedsMPGN@yahoo.com	http://www.healthcare.uiowa.edu/kidneeds/index.htm	The Kidneeds is a non-profit organization dedicated to finding a treatment or cure for membranoproliferative glomerulonephritis type 2 (MPGN type II). Also called dense deposit disease, MPGN type II is a kidney disease most commonly affecting children. Its cause is unknown, and there is currently no cure. Through a great variety of fundraising activities, Kidneeds raises funds for the sole purpose of supporting MPGN type II research. Established in 1997, it produces a newsletter and brochures for patients, families and caregivers.	The Greater Cedar Rapids Community Foundation324 3rd St. SECedar Rapids, IA 52401 	NA	NA	NA	NA
Angel Flight NE	angelflight@angelflightne.org	http://www.angelflightne.org	The Angel Flight Northeast (AFNE) is the largest national charitable medical air transportation network. AFA provides free medical air transportation for patients needing financial assistance utilizing private, corporate, and airline resources. Initial patient inquiry should be made through the National Patient Travel HELPLINE on 1-800-296-1217. Established in 1999, this voluntary, not for profit, service organization draws together the efforts of approximately 4,000 volunteers.	492 Sutton StreetNorth Andover, MA 1845 	9787946868	9787948779	8005499980	NA
United Brachial Plexus Network	info@ubpn.org	http://www.ubpn.org	The United Brachial Plexus Network is a registered non-profit 501©3 organization devoted to providing information, support and leadership for families and those concerned with brachial plexus injuries worldwide. Available resources include a website, online registry, Resource Directory, Prevention Program, and various outreach and awareness programs. UBPN works toward the prevention of brachial plexus injuries, and to educate medical and legal personnel, public officials, and the general public on issues surrounding these injuries. The brachial plexus refers to a bundle of nerves that conduct impulses from the spinal cord to the muscles of the arm and hand. This injury most often occurs at birth. Approximately 2-3 of every 1,000 newborns are affected by brachial plexus birth injuries. Other frequent causes include automobile, motorcycle, and boating accidents; sports injuries; animal bites; and gunshot or puncture wounds.	32 William Road ReadingReading, MA 01867 	781-315-6161	NA	NA	NA
US Hereditary Angioedema Association, Inc.	info@haea.org	http://www.haea.org	The US Hereditary Angioedema Association, Inc., is a non-profit organization dedicated to serving persons with angioedema resulting from CI inhibitor deficiency by increasing awareness of the disease and providing patients and physicians with authoritative and readily accessible information about it. The association also serves as a support network for patients, as well as an advocate for research seeking effective therapies and an ultimate cure. Hereditary angioedema is a rare inherited vascular disorder characterized by an excessive accumulation of body fluids that may block the normal flow of blood or lymphatic fluid, resulting in swelling at various locations in the body. With 150 members, the association provides services that include support groups, patient networking, a newsletter, and patient/professional education.	Seven Waterfront Plaza500 Ala Moana Blvd., Suite 400Honolulu, HI 96813 	NA	5084370303	8667985598	NA
Society for Mucopolysaccharidoses and Related Disorders	office@mps-austria.at	http://www.mps-austria.at/index.asp	The Gesellschaft für Mukopolysaccharidosen und ähnliche Erkrankunhen which translates to Society for Mucopolysaccharidoses and Related Disorders support and individual advocacy for families of MPS children and young adults in Austria. This voluntary, non-profit, self-help organization, which has approximately 200 members, organizes an annual family conference and other events. It raises money to promote research and make therapy possible. The Mucopolysaccharidoses are a group of hereditary lysosomal storage diseases. Deposits of mucopolysaccharides in the arteries, skeleton, joints, eyes, ears, skin, and teeth, and in the cardiovascular, respiratory, and central nervous systems characterize them.	Finklham 90Breitenaich,  4075 Austria	43724947795	43724947795	NA	NA
Floating Harbor Syndrome Support Group	littleflock7@gmail.com	http://www.floatingharborsyndromesupport.com	The Floating Harbor Syndrome Support Group is a voluntary organization that provides information and encouragement to parents of children affected by Floating Harbor syndrome. This syndrome is a rare genetic disorder that was named for the first two identified patients who were seen at Boston Floating Hospital and Harbor General Hospital in California. Its main characteristics include short stature, delayed bone growth, delay in expressive language, and distinctive facial features, such as a broad nose, wide mouth, thin lips, and deep-set eyes. The support group serves all populations and coordinates patient networking and patient education. It also provides publications that include a newsletter, brochures, pictures of children with FHS, and a membership directory.	P.O. Box 124Rosebud, TX 76570 USA	NA	NA	NA	NA
